date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:28:08	336554/336554	---MCZ	200	added ('OK')	text/html	etag:W/%2223a24c0757a3fc2c50cde8dc8301739b%22	https://phongdangcf.wixsite.com/my-site-2	C:/My%20Web%20Sites/Web/phongdangcf.wixsite.com/my-site-2.html	(from )
18:28:08	201/201	---M--	200	added ('OK')	text/plain	date:Sun,%2019%20Jun%202022%2011:28:09%20GMT	https://phongdangcf.wixsite.com/robots.txt		(from )
18:28:09	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/Web/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://phongdangcf.wixsite.com/my-site-2)
18:28:09	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/Web/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://phongdangcf.wixsite.com/my-site-2)
18:28:09	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2008%20Jun%202022%2018:45:14%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/Web/polyfill.io/v3/polyfill.mind82c.js	(from https://phongdangcf.wixsite.com/my-site-2)
18:28:10	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/My%20Web%20Sites/Web/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://phongdangcf.wixsite.com/my-site-2)
18:28:10	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Jun%202022%2011:28:11%20GMT	https://phongdangcf.wixsite.com/decodeURIComponent(e	C:/My%20Web%20Sites/Web/phongdangcf.wixsite.com/decodeURIComponent(e	(from https://phongdangcf.wixsite.com/my-site-2)
18:28:10	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Jun%202022%2011:28:11%20GMT	https://phongdangcf.wixsite.com/sitemap.xml	C:/My%20Web%20Sites/Web/phongdangcf.wixsite.com/sitemap.xml	(from https://phongdangcf.wixsite.com/my-site-2)
18:28:10	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Jun%202022%2011:28:12%20GMT	https://phongdangcf.wixsite.com/feed.xml	C:/My%20Web%20Sites/Web/phongdangcf.wixsite.com/feed.xml	(from https://phongdangcf.wixsite.com/my-site-2)
18:28:10	168814/168814	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e6a466fd89cd36f2f3c63f8870ab0023%22	https://static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.9f584914.bundle.min.js	C:/My%20Web%20Sites/Web/static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.9f584914.bundle.min.js	(from https://phongdangcf.wixsite.com/my-site-2)
18:28:11	183635/183635	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a8564542a7a48fa432e6874ca16f9cbe%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.731e5ec1.bundle.min.js	C:/My%20Web%20Sites/Web/static.parastorage.com/services/wix-thunderbolt/dist/main.731e5ec1.bundle.min.js	(from https://phongdangcf.wixsite.com/my-site-2)
18:28:11	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/My%20Web%20Sites/Web/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://phongdangcf.wixsite.com/my-site-2)
18:28:11	12463/12463	---M-Z	200	added ('OK')	application/javascript	etag:W/%22edf56a42bca6b565bf7dfcbd8ffc221a%22	https://static.parastorage.com/unpkg/react@16.13.1/umd/react.production.min.js	C:/My%20Web%20Sites/Web/static.parastorage.com/unpkg/react@16.13.1/umd/react.production.min.js	(from https://phongdangcf.wixsite.com/my-site-2)
18:28:11	12149/12149	---M-Z	200	added ('OK')	application/javascript	etag:W/%224c52cca03cc087845a2ddc47eb1bad7c%22	https://static.parastorage.com/services/wix-code-platform/1.1097.2/elementory-browser-support.min.js	C:/My%20Web%20Sites/Web/static.parastorage.com/services/wix-code-platform/1.1097.2/elementory-browser-support.min.js	(from https://phongdangcf.wixsite.com/my-site-2)
18:28:12	11216/11216	---M-Z	200	added ('OK')	application/javascript	etag:W/%2274b64900831a2e814a8ff0cdedcf80cb%22	https://static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js	C:/My%20Web%20Sites/Web/static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js	(from https://phongdangcf.wixsite.com/my-site-2)
18:28:12	38502/38502	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e0bc75cd29020598154edc6c218d43ea%22	https://static.parastorage.com/services/wix-perf-measure/1.756.0/wix-perf-measure.bundle.min.js	C:/My%20Web%20Sites/Web/static.parastorage.com/services/wix-perf-measure/1.756.0/wix-perf-measure.bundle.min.js	(from https://phongdangcf.wixsite.com/my-site-2)
18:28:12	118656/118656	---M-Z	200	added ('OK')	application/javascript	etag:W/%22dcf51763fb4a654e15a4e6e7754ca5d2%22	https://static.parastorage.com/unpkg/react-dom@16.13.1/umd/react-dom.production.min.js	C:/My%20Web%20Sites/Web/static.parastorage.com/unpkg/react-dom@16.13.1/umd/react-dom.production.min.js	(from https://phongdangcf.wixsite.com/my-site-2)
18:28:12	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Jun%202022%2011:28:14%20GMT	https://phongdangcf.wixsite.com/da6c52cb.min.css	C:/My%20Web%20Sites/Web/phongdangcf.wixsite.com/da6c52cb.min.css	(from https://phongdangcf.wixsite.com/my-site-2)
18:28:13	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Jun%202022%2011:28:14%20GMT	https://phongdangcf.wixsite.com/b604fd33.min.css	C:/My%20Web%20Sites/Web/phongdangcf.wixsite.com/b604fd33.min.css	(from https://phongdangcf.wixsite.com/my-site-2)
18:28:13	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Jun%202022%2011:28:14%20GMT	https://phongdangcf.wixsite.com/	C:/My%20Web%20Sites/Web/phongdangcf.wixsite.com/index.html	(from https://phongdangcf.wixsite.com/my-site-2)
18:28:13	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Jun%202022%2011:28:14%20GMT	https://phongdangcf.wixsite.com/02b07b80.min.css	C:/My%20Web%20Sites/Web/phongdangcf.wixsite.com/02b07b80.min.12.delayed	(from https://phongdangcf.wixsite.com/my-site-2)
18:28:13	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Jun%202022%2011:28:15%20GMT	https://phongdangcf.wixsite.com/ba99686b.min.css	C:/My%20Web%20Sites/Web/phongdangcf.wixsite.com/ba99686b.min.css	(from https://phongdangcf.wixsite.com/my-site-2)
18:28:14	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Jun%202022%2011:28:15%20GMT	https://phongdangcf.wixsite.com/b3e8ff7e.min.css	C:/My%20Web%20Sites/Web/phongdangcf.wixsite.com/b3e8ff7e.min.css	(from https://phongdangcf.wixsite.com/my-site-2)
18:28:14	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Jun%202022%2011:28:15%20GMT	https://phongdangcf.wixsite.com/version/	C:/My%20Web%20Sites/Web/phongdangcf.wixsite.com/version/index.html	(from https://phongdangcf.wixsite.com/my-site-2)
18:28:14	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Jun%202022%2011:28:15%20GMT	https://phongdangcf.wixsite.com/d078781b.min.css	C:/My%20Web%20Sites/Web/phongdangcf.wixsite.com/d078781b.min.css	(from https://phongdangcf.wixsite.com/my-site-2)
18:28:14	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Jun%202022%2011:28:15%20GMT	https://phongdangcf.wixsite.com/ae28f799.chunk.min.js	C:/My%20Web%20Sites/Web/phongdangcf.wixsite.com/ae28f799.chunk.min.js	(from https://phongdangcf.wixsite.com/my-site-2)
18:28:14	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Jun%202022%2011:28:16%20GMT	https://phongdangcf.wixsite.com/rb_wixui.thunderbolt~bootstrap-classic.49bd849e.chunk.min.js	C:/My%20Web%20Sites/Web/phongdangcf.wixsite.com/rb_wixui.thunderbolt_bootstrap-classic.49bd849e.chunk.min.js	(from https://phongdangcf.wixsite.com/my-site-2)
18:28:15	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Jun%202022%2011:28:16%20GMT	https://phongdangcf.wixsite.com/rb_wixui.thunderbolt~bootstrap-responsive.f3ca696f.chunk.min.css	C:/My%20Web%20Sites/Web/phongdangcf.wixsite.com/rb_wixui.thunderbolt_bootstrap-responsive.f3ca696f.chunk.min.css	(from https://phongdangcf.wixsite.com/my-site-2)
18:28:15	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Jun%202022%2011:28:16%20GMT	https://phongdangcf.wixsite.com/rb_wixui.thunderbolt~bootstrap-responsive.d4eb482d.chunk.min.js	C:/My%20Web%20Sites/Web/phongdangcf.wixsite.com/rb_wixui.thunderbolt_bootstrap-responsive.d4eb482d.chunk.min.js	(from https://phongdangcf.wixsite.com/my-site-2)
18:28:15	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Jun%202022%2011:28:16%20GMT	https://phongdangcf.wixsite.com/rb_wixui.thunderbolt~bootstrap.8bf33f67.chunk.min.css	C:/My%20Web%20Sites/Web/phongdangcf.wixsite.com/rb_wixui.thunderbolt_bootstrap.8bf33f67.chunk.min.css	(from https://phongdangcf.wixsite.com/my-site-2)
18:28:15	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Jun%202022%2011:28:17%20GMT	https://phongdangcf.wixsite.com/rb_wixui.thunderbolt~bootstrap.ae28f799.chunk.min.js	C:/My%20Web%20Sites/Web/phongdangcf.wixsite.com/rb_wixui.thunderbolt_bootstrap.ae28f799.chunk.min.js	(from https://phongdangcf.wixsite.com/my-site-2)
18:28:16	377065/377065	---MCZ	200	added ('OK')	text/html	etag:W/%2212aa2cbd186491240eba2be4d6b00cfd%22	https://phongdangcf.wixsite.com/my-site-2/contact	C:/My%20Web%20Sites/Web/phongdangcf.wixsite.com/my-site-2/contact.html	(from https://phongdangcf.wixsite.com/my-site-2)
